Gender,Age,Marital Status,Job Level,Years of Experience,Department,Employee Type,Work-Life Balance,Work Environment,Physical Activity Hours,Workload,Stress Level,Sleep Hours,Commute Mode,Commute Distance (km),Number of Companies Worked,Team Size,Direct Reports,Education Level,Overtime Status,Training Hours Per Year,Job Satisfaction,Low Sleep Flag,Long Commute Flag,Burnout Flag,Sleep Category,Burnout Score
Other,38,Single,Mid,1,Hr,Full-Time,1,3,2.0,2,1,6.9,Car,12,5,11,0,Bachelor,No,30.5,4,0,0,0,Moderate,0.19999999999999973
Male,27,Single,Junior,5,Finance,Full-Time,5,5,2.9,4,3,6.5,Motorbike,10,1,5,0,Bachelor,No,22.5,4,0,0,0,Moderate,0.8999999999999999
Female,34,Married,Senior,12,Customer Service,Part-Time,3,5,2.4,2,1,6.2,Motorbike,12,4,22,9,Bachelor,No,46.0,4,0,0,0,Moderate,0.47999999999999987
Male,37,Single,Senior,15,Marketing,Contract,3,5,1.7,4,1,7.6,Car,26,5,16,2,Bachelor,No,47.5,4,0,1,0,Healthy,0.9400000000000002
Male,36,Married,Senior,14,Customer Service,Full-Time,4,4,2.8,3,3,7.3,Motorbike,8,4,21,2,Bachelor,No,47.0,4,0,0,0,Healthy,0.21999999999999997
Female,31,Married,Mid,5,Operations,Full-Time,5,4,1.8,5,1,5.3,Motorbike,9,3,12,0,Bachelor,No,32.5,4,0,0,0,Moderate,1.6500000000000001
Male,26,Single,Junior,4,Finance,Part-Time,1,4,0.9,3,1,5.1,Car,11,1,7,0,Bachelor,No,22.0,4,0,0,0,Moderate,1.1900000000000002
Female,30,Married,Senior,8,Operations,Full-Time,5,5,2.9,4,2,6.8,Car,24,2,18,6,Bachelor,No,44.0,4,0,1,0,Moderate,1.2
Male,32,Married,Senior,10,Marketing,Full-Time,5,1,1.7,3,1,7.1,Walk,1,3,22,3,Bachelor,No,45.0,4,0,0,0,Healthy,0.09000000000000005
Male,22,Single,Intern/Fresher,0,It,Full-Time,3,5,0.1,1,2,7.7,Walk,1,0,25,0,Bachelor,Yes,10.0,4,0,0,0,Healthy,-0.75
Male,32,Married,Mid,10,Operations,Full-Time,5,3,1.6,2,1,6.3,Car,24,3,12,0,Bachelor,No,35.0,4,0,1,0,Moderate,0.8
Male,23,Single,Junior,1,Finance,Part-Time,5,2,0.9,1,2,7.5,Car,16,0,9,0,Bachelor,No,20.5,4,0,0,0,Healthy,-0.21999999999999997
Male,29,Single,Junior,1,Finance,Full-Time,3,4,4.6,4,2,5.5,Car,27,2,8,0,Bachelor,No,20.5,4,0,1,0,Moderate,1.81
Female,35,Married,Mid,13,It,Full-Time,3,5,2.9,3,2,6.3,Car,25,4,13,0,Bachelor,Yes,36.5,4,0,1,0,Moderate,1.13
Male,22,Single,Intern/Fresher,0,It,Part-Time,4,3,2.9,1,1,8.3,Motorbike,5,0,25,0,Bachelor,Yes,10.0,4,0,0,0,Healthy,-0.8700000000000002
Male,29,Single,Junior,1,It,Contract,4,2,2.1,3,1,7.1,Motorbike,24,2,5,0,Bachelor,No,20.5,4,0,1,0,Healthy,0.78
Male,24,Single,Junior,2,It,Part-Time,2,1,2.8,2,2,9.1,Bike,4,0,9,0,Bachelor,Yes,21.0,4,0,0,0,Healthy,-0.92
Female,53,Married,Senior,5,Marketing,Contract,5,4,2.6,5,2,5.9,Car,29,10,19,4,Bachelor,No,42.5,4,0,1,0,Moderate,2.01
Female,38,Married,Mid,2,Marketing,Part-Time,5,4,1.8,3,1,6.6,Public Transport,13,5,12,0,Bachelor,No,31.0,4,0,0,0,Moderate,0.65
Other,45,Single,Mid,12,Marketing,Full-Time,5,1,2.8,3,1,8.3,Car,29,7,15,0,Bachelor,No,36.0,4,0,1,0,Healthy,0.4499999999999996
Female,41,Single,Mid,2,Hr,Full-Time,1,4,0.5,1,2,8.0,Public Transport,16,6,12,0,Bachelor,Yes,31.0,4,0,0,0,Healthy,-0.42000000000000015
Male,26,Single,Junior,4,It,Full-Time,4,1,2.5,1,1,8.4,Public Transport,17,1,10,0,Bachelor,Yes,22.0,4,0,0,0,Healthy,-0.5500000000000003
Other,28,Single,Junior,6,It,Full-Time,5,3,2.1,5,1,6.7,Public Transport,19,2,7,0,Bachelor,Yes,23.0,4,0,0,0,Moderate,1.3899999999999997
Male,39,Married,Mid,11,Sales,Full-Time,3,4,0.0,3,3,9.3,Motorbike,17,5,15,0,Bachelor,No,35.5,4,0,0,0,Healthy,-0.3100000000000005
Female,29,Single,Junior,4,Sales,Full-Time,3,5,2.4,4,1,4.6,Car,22,2,9,0,Bachelor,No,22.0,4,1,1,1,Low,2.02
Female,49,Married,Senior,27,Operations,Contract,4,4,3.4,5,4,7.9,Car,16,9,24,4,Bachelor,No,53.5,4,0,0,0,Healthy,0.8199999999999998
Male,34,Single,Senior,12,Finance,Full-Time,3,3,2.7,2,2,5.1,Car,25,4,15,5,Bachelor,No,46.0,4,0,1,0,Moderate,1.31
Male,32,Married,Senior,10,It,Part-Time,4,2,2.4,5,1,8.1,Car,17,3,21,8,Bachelor,No,45.0,4,0,0,0,Healthy,0.77
Other,36,Single,Senior,14,Finance,Full-Time,2,3,1.6,2,2,9.1,Walk,1,4,21,5,Bachelor,No,47.0,4,0,0,0,Healthy,-1.01
Male,35,Single,Senior,13,Finance,Full-Time,4,3,3.3,1,1,5.7,Public Transport,25,4,15,5,Bachelor,No,46.5,4,0,1,0,Moderate,0.7699999999999999
Male,27,Single,Junior,5,Legal,Full-Time,5,5,2.8,5,1,6.3,Car,14,1,9,0,Bachelor,Yes,22.5,4,0,0,0,Moderate,1.4000000000000001
Male,34,Married,Mid,12,It,Part-Time,1,5,3.0,1,3,6.4,Public Transport,20,4,11,0,Bachelor,Yes,36.0,4,0,1,0,Moderate,0.3399999999999998
Other,43,Single,Mid,20,Finance,Full-Time,5,3,1.8,4,2,7.1,Walk,2,7,15,0,Bachelor,No,40.0,4,0,0,0,Healthy,0.4200000000000001
Male,40,Married,Mid,11,Legal,Full-Time,5,3,1.5,3,1,6.9,Car,29,6,14,0,Bachelor,No,35.5,4,0,1,0,Moderate,1.0099999999999998
Female,28,Single,Junior,6,Finance,Full-Time,4,3,2.2,2,3,8.5,Walk,2,2,7,0,Bachelor,No,23.0,4,0,0,0,Healthy,-0.7400000000000002
Male,32,Married,Mid,10,Sales,Full-Time,2,4,2.1,1,1,6.2,Car,9,3,15,0,Bachelor,No,35.0,4,0,0,0,Moderate,0.08999999999999991
Female,22,Single,Intern/Fresher,0,Customer Service,Part-Time,4,3,1.4,1,2,7.6,Motorbike,19,0,22,0,Bachelor,No,10.0,4,0,0,0,Healthy,-0.16999999999999982
Female,28,Single,Mid,6,Legal,Full-Time,1,4,2.6,2,1,7.0,Public Transport,5,2,14,0,Bachelor,No,33.0,4,0,0,0,Moderate,-0.05000000000000007
Male,40,Married,Mid,18,Operations,Full-Time,4,2,1.9,3,1,8.8,Walk,1,6,12,0,Bachelor,No,39.0,4,0,0,0,Healthy,-0.5900000000000005
Male,37,Married,Mid,13,Operations,Full-Time,1,2,1.4,3,2,8.3,Car,22,5,13,0,Bachelor,No,36.5,4,0,1,0,Healthy,0.23999999999999966
Female,30,Married,Senior,8,Sales,Part-Time,5,3,1.8,2,1,5.5,Motorbike,13,2,18,6,Bachelor,No,44.0,4,0,0,0,Moderate,0.79
Female,29,Single,Junior,7,Legal,Full-Time,4,3,2.0,2,1,7.8,Walk,1,2,6,0,Bachelor,No,23.5,4,0,0,0,Healthy,-0.4899999999999999
Female,45,Single,Senior,15,Legal,Full-Time,3,1,2.9,3,1,7.4,Walk,2,7,22,6,Bachelor,No,47.5,4,0,0,0,Healthy,-2.7755575615628914e-16
Male,30,Single,Mid,8,Finance,Contract,2,3,2.8,1,3,5.4,Bike,1,2,14,0,Bachelor,No,34.0,4,0,0,0,Moderate,0.16999999999999985
Male,45,Married,Mid,9,Sales,Full-Time,5,4,1.6,5,1,7.1,Car,14,7,15,0,Bachelor,No,34.5,4,0,0,0,Healthy,1.08
Female,40,Married,Mid,18,Operations,Contract,1,3,0.9,2,1,5.2,Motorbike,20,6,13,0,Bachelor,No,39.0,4,0,1,0,Moderate,1.1199999999999999
Male,29,Single,Junior,7,Operations,Full-Time,2,3,1.1,1,1,9.2,Car,6,2,10,0,Bachelor,Yes,23.5,4,0,0,0,Healthy,-1.1999999999999997
Female,25,Married,Junior,3,Finance,Full-Time,3,5,1.6,3,2,5.3,Car,15,1,5,0,Bachelor,No,21.5,4,0,0,0,Moderate,1.23
Male,51,Married,Senior,10,Finance,Full-Time,3,5,1.0,1,1,5.8,Bike,4,9,15,8,Bachelor,No,45.0,4,0,0,0,Moderate,0.10000000000000003
Male,45,Married,Senior,7,Operations,Full-Time,5,4,2.4,3,1,6.7,Car,7,7,21,3,Bachelor,No,43.5,4,0,0,0,Moderate,0.4299999999999997
Male,22,Single,Intern/Fresher,0,Legal,Contract,1,5,2.4,1,1,6.6,Car,18,0,29,0,Bachelor,No,10.0,4,0,0,0,Moderate,0.20000000000000012
Other,33,Single,Mid,5,Legal,Full-Time,5,3,1.3,3,1,6.8,Motorbike,19,3,10,0,Bachelor,No,32.5,4,0,0,0,Moderate,0.7499999999999999
Other,40,Single,Senior,18,Operations,Full-Time,4,2,2.0,1,4,7.0,Bike,2,6,17,7,Bachelor,No,49.0,4,0,0,0,Moderate,-0.44
Female,25,Single,Junior,3,Finance,Full-Time,5,1,1.9,2,1,6.9,Car,25,1,7,0,Bachelor,No,21.5,4,0,1,0,Moderate,0.5899999999999997
Female,22,Single,Intern/Fresher,0,Finance,Full-Time,4,3,2.4,2,1,6.7,Walk,1,0,30,0,Bachelor,No,10.0,4,0,0,0,Moderate,-0.05000000000000018
Other,25,Single,Junior,3,Legal,Contract,5,1,1.0,3,1,8.1,Public Transport,29,1,10,0,Bachelor,No,21.5,4,0,1,0,Healthy,0.5299999999999999
Male,23,Single,Junior,1,Finance,Contract,1,5,1.2,2,4,6.1,Bike,8,0,9,0,Bachelor,No,20.5,4,0,0,0,Moderate,0.4000000000000001
Female,47,Married,Mid,20,Operations,Full-Time,5,4,1.3,5,2,8.0,Public Transport,5,8,14,0,Bachelor,No,40.0,4,0,0,0,Healthy,0.44999999999999984
Male,39,Single,Mid,17,Sales,Full-Time,2,5,2.2,5,1,6.6,Bike,5,5,14,0,Bachelor,No,38.5,4,0,0,0,Moderate,1.01
Female,22,Single,Junior,0,It,Contract,1,1,1.8,2,1,8.0,Walk,2,0,8,0,Bachelor,No,20.0,4,0,0,0,Healthy,-0.5400000000000003
Female,27,Single,Junior,5,Customer Service,Part-Time,5,2,1.4,2,3,6.7,Public Transport,15,1,5,0,Bachelor,No,22.5,4,0,0,0,Moderate,0.3699999999999998
Female,24,Single,Mid,2,It,Part-Time,5,2,3.2,5,1,7.6,Bike,2,0,12,0,Bachelor,Yes,31.0,4,0,0,0,Healthy,0.5200000000000002
Female,40,Single,Mid,11,It,Full-Time,5,5,2.7,3,2,7.6,Public Transport,12,6,12,0,Bachelor,Yes,35.5,4,0,0,0,Healthy,0.22000000000000008
Female,25,Single,Junior,3,Legal,Full-Time,3,3,3.0,1,1,6.8,Motorbike,6,1,9,0,Bachelor,No,21.5,4,0,0,0,Moderate,-0.24
Female,48,Married,Mid,15,Legal,Full-Time,4,2,0.4,1,1,7.2,Walk,1,8,15,0,Bachelor,No,37.5,4,0,0,0,Healthy,-0.55
Male,36,Single,Senior,14,It,Part-Time,5,5,1.7,1,5,5.7,Motorbike,7,4,23,2,Bachelor,No,47.0,4,0,0,0,Moderate,0.2299999999999999
Male,29,Single,Mid,7,Finance,Full-Time,2,4,1.0,1,4,8.0,Public Transport,27,2,13,0,Bachelor,No,33.5,4,0,1,0,Healthy,-0.09000000000000008
Female,22,Single,Intern/Fresher,0,Hr,Part-Time,3,3,1.3,1,1,7.7,Walk,2,0,22,0,Bachelor,No,10.0,4,0,0,0,Healthy,-0.72
Female,29,Married,Junior,7,It,Full-Time,4,3,0.6,1,3,5.9,Public Transport,22,2,5,0,Bachelor,Yes,23.5,4,0,1,0,Moderate,0.5999999999999999
Male,24,Single,Senior,2,Customer Service,Full-Time,1,2,0.7,1,1,6.8,Bike,4,0,22,9,Bachelor,No,41.0,4,0,0,0,Moderate,-0.3
Male,38,Single,Mid,6,Finance,Full-Time,2,4,1.6,1,4,6.5,Car,10,5,13,0,Bachelor,No,33.0,4,0,0,0,Moderate,-1.1102230246251565e-16
Male,25,Married,Mid,3,It,Full-Time,3,5,1.6,5,1,6.8,Bike,2,1,10,0,Bachelor,Yes,31.5,4,0,0,0,Moderate,0.8400000000000001
Male,37,Single,Mid,11,It,Full-Time,2,1,0.9,1,3,8.4,Motorbike,23,5,10,0,Bachelor,No,35.5,4,0,1,0,Healthy,-0.37000000000000033
Male,47,Married,Mid,25,Finance,Contract,4,4,1.2,5,3,7.3,Motorbike,11,8,15,0,Bachelor,No,42.5,4,0,0,0,Healthy,0.9100000000000001
Other,22,Single,Intern/Fresher,0,Finance,Full-Time,4,5,2.1,2,3,7.0,Bike,8,0,23,0,Bachelor,No,10.0,4,0,0,0,Moderate,0.039999999999999925
Female,26,Single,Junior,4,Sales,Full-Time,1,5,1.6,1,1,7.9,Bike,1,1,10,0,Bachelor,No,22.0,4,0,0,0,Healthy,-0.8300000000000001
Female,28,Single,Junior,6,Finance,Full-Time,2,4,0.7,1,1,7.0,Car,5,2,8,0,Bachelor,No,23.0,4,0,0,0,Moderate,-0.35
Male,25,Married,Junior,3,Operations,Full-Time,2,4,3.6,1,3,7.5,Public Transport,15,1,8,0,Bachelor,No,21.5,4,0,0,0,Healthy,-0.25
Male,32,Married,Mid,10,It,Contract,3,4,2.3,2,1,7.2,Car,27,3,13,0,Bachelor,Yes,35.0,4,0,1,0,Healthy,0.5299999999999999
Other,59,Single,Senior,20,It,Full-Time,1,5,2.0,3,1,6.1,Bike,2,12,24,9,Bachelor,No,50.0,4,0,0,0,Moderate,0.52
Female,25,Single,Junior,3,Operations,Full-Time,3,2,1.9,3,2,7.4,Car,26,1,6,0,Bachelor,No,21.5,4,0,1,0,Healthy,0.7199999999999998
Male,49,Married,Senior,21,Customer Service,Full-Time,2,2,2.9,3,1,7.0,Car,19,9,18,4,Bachelor,No,50.5,4,0,0,0,Moderate,0.6699999999999998
Male,50,Divorced,Senior,8,Operations,Part-Time,2,1,2.7,1,1,6.4,Car,21,9,20,8,Bachelor,No,44.0,4,0,1,0,Moderate,0.36999999999999983
Female,29,Single,Junior,7,Sales,Full-Time,4,2,3.7,3,2,8.6,Walk,2,2,6,0,Bachelor,No,23.5,4,0,0,0,Healthy,-0.48000000000000004
Female,27,Single,Junior,5,Marketing,Full-Time,2,3,3.9,2,1,6.1,Public Transport,12,1,7,0,Bachelor,No,22.5,4,0,0,0,Moderate,0.52
Male,34,Single,Senior,12,Legal,Full-Time,4,2,1.4,2,2,6.2,Bike,5,4,16,2,Bachelor,No,46.0,4,0,0,0,Moderate,0.2699999999999999
Female,23,Single,Junior,1,Hr,Part-Time,2,4,2.4,1,1,7.7,Public Transport,18,0,9,0,Bachelor,No,20.5,4,0,0,0,Healthy,-0.24
Male,43,Married,Senior,21,It,Full-Time,4,5,2.0,2,1,7.7,Car,5,7,18,8,Bachelor,Yes,50.5,4,0,0,0,Healthy,-0.33000000000000007
Female,26,Single,Mid,4,Finance,Full-Time,1,4,3.2,5,1,7.5,Motorbike,13,1,12,0,Bachelor,No,32.0,4,0,0,0,Healthy,0.89
Male,27,Single,Junior,5,Legal,Full-Time,5,3,2.1,1,5,6.2,Car,16,1,6,0,Bachelor,No,22.5,4,0,0,0,Moderate,0.2999999999999999
Male,26,Single,Senior,4,Finance,Full-Time,5,4,1.6,4,2,6.0,Public Transport,12,1,18,5,Bachelor,No,42.0,4,0,0,0,Moderate,1.16
Female,26,Married,Mid,4,Operations,Full-Time,3,5,3.1,1,4,7.1,Car,11,1,13,0,Bachelor,No,32.0,4,0,0,0,Healthy,-0.2099999999999998
Female,26,Single,Junior,4,Operations,Full-Time,2,4,2.2,2,1,6.9,Public Transport,16,1,8,0,Bachelor,No,22.0,4,0,0,0,Moderate,0.31999999999999973
Male,29,Single,Junior,4,Operations,Contract,3,5,3.1,4,1,5.5,Car,18,2,7,0,Bachelor,No,22.0,4,0,0,0,Moderate,1.54
Female,36,Single,Senior,12,Finance,Full-Time,4,5,1.9,5,1,5.9,Car,18,4,24,3,Bachelor,No,46.0,4,0,0,0,Moderate,1.68
Female,42,Married,Mid,12,It,Part-Time,1,4,2.5,2,1,6.8,Car,19,6,14,0,Bachelor,Yes,36.0,4,0,0,0,Moderate,0.44999999999999996
Other,33,Single,Mid,11,Finance,Full-Time,1,4,3.0,3,1,7.0,Bike,5,3,15,0,Bachelor,No,35.5,4,0,0,0,Moderate,0.24999999999999986
Female,37,Single,Mid,15,Marketing,Part-Time,2,5,4.4,1,3,6.3,Public Transport,7,5,15,0,Bachelor,No,37.5,4,0,0,0,Moderate,-0.009999999999999926
Female,28,Single,Junior,3,Customer Service,Full-Time,2,5,0.0,2,1,8.7,Public Transport,28,2,8,0,Bachelor,Yes,21.5,4,0,1,0,Healthy,-0.039999999999999813
Female,40,Married,Mid,15,Hr,Full-Time,5,5,2.3,4,1,6.7,Car,12,6,13,0,Bachelor,No,37.5,4,0,0,0,Moderate,0.8799999999999998
Male,29,Single,Junior,7,Hr,Full-Time,1,4,1.6,5,1,8.0,Bike,7,2,10,0,Bachelor,No,23.5,4,0,0,0,Healthy,0.5099999999999998
Other,40,Single,Senior,1,Marketing,Full-Time,2,2,1.2,1,1,8.0,Walk,1,6,16,2,Bachelor,No,40.5,4,0,0,0,Healthy,-0.8700000000000001
Male,33,Married,Senior,11,Legal,Full-Time,1,5,1.3,4,2,6.8,Car,25,3,20,7,Bachelor,No,45.5,4,0,1,0,Moderate,1.23
Other,43,Single,Mid,11,Marketing,Full-Time,5,4,2.0,2,1,5.3,Car,9,7,14,0,Bachelor,No,35.5,4,0,0,0,Moderate,0.75
Male,24,Single,Mid,2,It,Part-Time,5,1,2.3,2,1,8.4,Car,19,0,11,0,Bachelor,Yes,31.0,4,0,0,0,Healthy,-0.1900000000000004
Female,35,Married,Mid,12,Hr,Full-Time,5,1,3.8,2,2,6.3,Car,27,4,13,0,Bachelor,No,36.0,4,0,1,0,Moderate,0.8900000000000001
Other,36,Single,Senior,14,It,Part-Time,5,3,1.6,3,1,7.3,Car,18,4,23,8,Bachelor,No,47.0,4,0,0,0,Healthy,0.52
Male,36,Married,Mid,12,Marketing,Full-Time,3,4,3.3,2,1,6.5,Public Transport,10,4,14,0,Bachelor,No,36.0,4,0,0,0,Moderate,0.2999999999999999
Male,45,Married,Mid,14,Finance,Full-Time,2,5,1.7,1,5,9.7,Walk,1,7,13,0,Bachelor,No,37.0,4,0,0,0,Healthy,-1.5499999999999998
Male,35,Married,Mid,13,It,Full-Time,4,5,2.7,1,1,6.8,Public Transport,16,4,10,0,Bachelor,Yes,36.5,4,0,0,0,Moderate,0.06
Male,58,Married,Senior,3,Sales,Part-Time,3,4,0.0,2,1,6.7,Car,28,12,17,5,Bachelor,No,41.5,4,0,1,0,Moderate,0.7599999999999998
Female,36,Married,Mid,14,Finance,Full-Time,2,2,1.8,2,2,6.5,Bike,4,4,12,0,Bachelor,No,37.0,4,0,0,0,Moderate,0.11999999999999988
Female,44,Married,Mid,7,Operations,Full-Time,1,4,1.4,3,1,5.3,Bike,7,7,13,0,Bachelor,No,33.5,4,0,0,0,Moderate,0.99
Female,35,Single,Senior,13,It,Full-Time,4,1,0.7,1,1,7.1,Public Transport,27,4,22,5,Bachelor,No,46.5,4,0,1,0,Healthy,0.27000000000000024
Male,34,Married,Senior,7,Sales,Part-Time,4,3,1.0,1,1,7.9,Motorbike,13,4,19,9,Bachelor,Yes,43.5,4,0,0,0,Healthy,-0.4700000000000001
Male,39,Divorced,Senior,10,Customer Service,Part-Time,4,2,0.1,4,1,8.0,Public Transport,20,5,23,6,Bachelor,No,45.0,4,0,1,0,Healthy,0.5999999999999998
Male,25,Single,Junior,3,It,Full-Time,5,3,0.0,4,1,9.1,Bike,5,1,10,0,Bachelor,Yes,21.5,4,0,0,0,Healthy,-0.2899999999999999
Male,30,Married,Mid,8,Marketing,Full-Time,5,2,3.1,5,1,6.5,Public Transport,26,2,13,0,Bachelor,No,34.0,4,0,1,0,Moderate,1.68
Other,36,Single,Senior,14,It,Full-Time,1,3,1.3,1,3,9.3,Car,22,4,17,4,Bachelor,Yes,47.0,4,0,1,0,Healthy,-0.7600000000000003
Female,33,Married,Mid,9,Finance,Contract,2,5,1.6,3,1,5.4,Public Transport,14,3,10,0,Bachelor,No,34.5,4,0,0,0,Moderate,1.1599999999999997
Male,47,Married,Senior,16,Customer Service,Full-Time,1,3,1.6,3,3,8.2,Car,24,8,24,4,Bachelor,No,48.0,4,0,1,0,Healthy,0.3400000000000001
Female,23,Single,Intern/Fresher,1,Finance,Full-Time,4,4,3.3,5,1,7.7,Public Transport,17,0,22,0,Bachelor,No,10.5,4,0,0,0,Healthy,0.9299999999999999
Female,27,Single,Junior,5,Legal,Full-Time,5,5,2.8,2,2,6.7,Bike,7,1,10,0,Bachelor,Yes,22.5,4,0,0,0,Moderate,0.1299999999999998
Male,40,Single,Mid,5,Finance,Contract,1,1,2.8,1,1,7.0,Motorbike,22,6,11,0,Bachelor,No,32.5,4,0,1,0,Moderate,0.16000000000000003
Male,31,Single,Mid,9,Finance,Full-Time,4,3,1.2,3,2,6.0,Car,16,3,13,0,Bachelor,No,34.5,4,0,0,0,Moderate,0.9799999999999999
Male,44,Married,Mid,10,It,Full-Time,5,3,1.7,3,1,6.6,Public Transport,16,7,10,0,Bachelor,Yes,35.0,4,0,0,0,Moderate,0.74
Male,52,Married,Senior,24,Legal,Full-Time,5,1,1.8,1,3,8.3,Public Transport,7,10,19,1,Bachelor,No,52.0,4,0,0,0,Healthy,-0.8100000000000003
Male,36,Married,Mid,2,It,Full-Time,5,2,2.2,3,2,7.9,Public Transport,9,4,13,0,Bachelor,Yes,31.0,4,0,0,0,Healthy,0.009999999999999787
Male,24,Single,Mid,2,Operations,Full-Time,5,1,2.2,1,1,5.9,Car,8,0,10,0,Bachelor,No,31.0,4,0,0,0,Moderate,0.17999999999999983
Male,22,Single,Junior,0,It,Full-Time,1,5,2.3,5,1,9.1,Car,12,0,9,0,Bachelor,Yes,20.0,4,0,0,0,Healthy,0.22000000000000008
Male,24,Single,Mid,2,Legal,Contract,5,1,1.8,4,1,7.2,Motorbike,6,0,14,0,Bachelor,No,31.0,4,0,0,0,Healthy,0.49999999999999983
Male,44,Married,Senior,16,It,Part-Time,5,5,2.9,3,1,6.1,Walk,2,7,24,6,Bachelor,Yes,48.0,4,0,0,0,Moderate,0.52
Female,26,Single,Junior,4,Finance,Full-Time,5,4,4.1,5,4,7.1,Motorbike,16,1,9,0,Bachelor,No,22.0,4,0,0,0,Healthy,1.1400000000000001
Female,27,Single,Mid,5,Operations,Full-Time,5,1,2.3,2,1,5.8,Motorbike,4,1,10,0,Bachelor,Yes,32.5,4,0,0,0,Moderate,0.4
Male,27,Single,Mid,2,It,Full-Time,5,4,3.1,3,1,7.9,Car,10,1,11,0,Bachelor,Yes,31.0,4,0,0,0,Healthy,0.03999999999999976
Male,42,Married,Mid,20,Sales,Full-Time,5,4,1.5,3,1,7.0,Bike,1,6,13,0,Bachelor,No,40.0,4,0,0,0,Moderate,0.12999999999999987
Male,23,Single,Junior,1,Hr,Part-Time,4,3,3.2,1,1,6.4,Walk,1,0,10,0,Bachelor,No,20.5,4,0,0,0,Moderate,-0.23000000000000018
Female,23,Single,Intern/Fresher,1,Finance,Full-Time,3,1,1.4,1,1,7.2,Public Transport,13,0,21,0,Bachelor,Yes,10.5,4,0,0,0,Healthy,-0.19000000000000006
Female,39,Single,Mid,10,Marketing,Contract,3,5,2.1,3,1,5.7,Car,22,5,12,0,Bachelor,No,35.0,4,0,1,0,Moderate,1.2799999999999998
Male,48,Divorced,Mid,21,Marketing,Full-Time,4,2,1.8,3,1,5.7,Bike,1,8,12,0,Bachelor,No,40.5,4,0,0,0,Moderate,0.6499999999999999
Male,27,Married,Mid,1,Finance,Part-Time,3,1,2.5,1,3,6.1,Public Transport,16,1,14,0,Bachelor,No,30.5,4,0,0,0,Moderate,0.3400000000000001
Female,25,Single,Junior,2,Marketing,Part-Time,4,4,1.3,2,1,6.6,Public Transport,5,1,5,0,Bachelor,No,21.0,4,0,0,0,Moderate,0.11000000000000007
Male,37,Married,Mid,14,It,Part-Time,4,3,2.6,4,1,7.9,Public Transport,23,5,13,0,Bachelor,Yes,37.0,4,0,1,0,Healthy,0.7299999999999998
Male,23,Single,Intern/Fresher,1,It,Full-Time,5,3,2.6,4,1,7.2,Public Transport,10,0,20,0,Bachelor,No,10.5,4,0,0,0,Healthy,0.6199999999999999
Female,23,Single,Junior,1,Legal,Full-Time,5,2,3.5,5,2,6.7,Public Transport,10,0,6,0,Bachelor,No,20.5,4,0,0,0,Moderate,1.1199999999999999
Female,31,Married,Senior,9,Customer Service,Full-Time,1,4,1.9,1,1,7.7,Bike,9,3,25,4,Bachelor,No,44.5,4,0,0,0,Healthy,-0.51
Female,27,Single,Junior,5,Finance,Full-Time,1,4,2.2,4,1,7.4,Car,6,1,6,0,Bachelor,No,22.5,4,0,0,0,Healthy,0.41999999999999976
Male,39,Married,Mid,4,It,Full-Time,5,3,1.5,5,1,6.7,Car,26,5,11,0,Bachelor,No,32.0,4,0,1,0,Moderate,1.5999999999999999
Male,29,Single,Junior,7,It,Full-Time,1,5,1.3,2,1,5.4,Public Transport,13,2,5,0,Bachelor,Yes,23.5,4,0,0,0,Moderate,0.8299999999999998
Male,24,Single,Junior,2,Legal,Full-Time,1,3,1.9,1,1,6.1,Car,15,0,8,0,Bachelor,No,21.0,4,0,0,0,Moderate,0.31000000000000005
Female,34,Single,Mid,12,Operations,Full-Time,1,5,2.9,5,1,7.7,Car,8,4,13,0,Bachelor,No,36.0,4,0,0,0,Healthy,0.6599999999999999
Female,35,Single,Mid,13,Marketing,Full-Time,5,5,1.2,4,3,8.2,Bike,6,4,12,0,Bachelor,No,36.5,4,0,0,0,Healthy,0.10000000000000014
Male,26,Married,Junior,4,It,Full-Time,4,2,0.9,4,1,7.4,Car,16,1,8,0,Bachelor,Yes,22.0,4,0,0,0,Healthy,0.7199999999999998
Female,23,Single,Intern/Fresher,1,Legal,Full-Time,1,2,1.7,1,1,6.6,Car,25,0,27,0,Bachelor,No,10.5,4,0,1,0,Moderate,0.4100000000000001
Male,28,Single,Junior,6,Hr,Full-Time,1,4,2.6,3,1,7.6,Public Transport,8,2,6,0,Bachelor,No,23.0,4,0,0,0,Healthy,0.10000000000000009
Female,40,Married,Senior,1,Marketing,Part-Time,5,3,2.7,2,2,6.0,Car,14,6,24,4,Bachelor,No,40.5,4,0,0,0,Moderate,0.6199999999999999
Male,27,Single,Junior,5,Operations,Part-Time,5,3,2.7,4,1,6.2,Public Transport,28,1,5,0,Bachelor,No,22.5,4,0,1,0,Moderate,1.5599999999999998
Female,43,Married,Mid,12,Marketing,Full-Time,5,3,2.4,4,5,7.6,Car,16,7,13,0,Bachelor,No,36.0,4,0,0,0,Healthy,0.6400000000000001
Female,28,Married,Senior,6,Marketing,Full-Time,4,1,2.3,2,5,8.0,Walk,2,2,15,3,Bachelor,No,43.0,4,0,0,0,Healthy,-0.5400000000000003
Female,32,Single,Mid,10,Operations,Full-Time,1,2,0.6,2,1,6.2,Car,8,3,13,0,Bachelor,No,35.0,4,0,0,0,Moderate,0.3599999999999999
